# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
40 0 719 668.467 304.334 364.133 0.23905608
40 1 634 650.72 286.588 364.132 0.026171112
40 2 667 619.396 255.264 364.132 0.21214682
40 3 570 578.549 214.417 364.132 0.0068419557
40 4 548 532.966 168.834 364.132 0.021159174
40 5 463 487.772 123.64 364.132 0.057447584
40 6 434 447.834 83.702 364.132 0.01791617
40 7 384 416.209 52.077 364.132 0.097118979
40 8 389 393.081 28.948 364.133 0.0015591317
40 9 395 385.046 20.913 364.133 0.0092756616
40 10 360 399.74 35.606 364.134 0.14784456
40 11 438 432.469 68.335 364.134 0.002863894
40 12 470 473.186 109.052 364.134 0.00095025719
40 13 522 513.398 149.264 364.134 0.0069270528
40 14 525 547.109 182.975 364.134 0.04576019
40 15 588 570.657 206.523 364.134 0.028157758
40 16 550 582.025 217.892 364.133 0.096012527
40 17 572 580.86 216.727 364.133 0.0073488108
40 18 600 568.149 204.016 364.133 0.09497204
40 19 558 545.99 181.858 364.132 0.013503167
40 20 499 516.873 152.741 364.132 0.02990505
40 21 493 484.838 120.706 364.132 0.006236527
40 22 454 456.018 91.886 364.132 0.00038123428
40 23 422 436.938 72.805 364.133 0.020889812
40 24 427 432.904 68.771 364.133 0.0032631897
40 25 411 447.17 83.036 364.134 0.12247477
40 26 520 481.113 116.979 364.134 0.14156585
40 27 559 528.434 164.299 364.135 0.087463498
40 28 580 578.402 214.268 364.134 0.00023905794
40 29 652 622.379 258.245 364.134 0.082138933
40 30 637 654.113 289.98 364.133 0.027415863
40 31 717 669.934 305.801 364.133 0.20737873
41 0 656 664.384 306.095 358.289 0.006580398
41 1 608 646.431 288.142 358.289 0.13826523
41 2 617 614.795 256.507 358.288 0.00045516285
41 3 596 573.596 215.308 358.288 0.046989492
41 4 560 527.689 169.401 358.288 0.097735069
41 5 444 482.233 123.945 358.288 0.13684419
41 6 459 442.111 83.823 358.288 0.026702843
41 7 448 410.383 52.095 358.288 0.13247012
41 8 344 387.232 28.944 358.288 0.17496866
41 9 375 379.233 20.943 358.29 0.0016774368
41 10 392 394.03 35.741 358.289 0.00038578177
41 11 455 427.008 68.718 358.29 0.073352933
41 12 446 468.132 109.842 358.29 0.045855449
41 13 546 508.821 150.532 358.289 0.1294032
41 14 549 542.969 184.679 358.29 0.0034050875
41 15 564 566.827 208.538 358.289 0.00074817164
41 16 600 578.331 220.042 358.289 0.043956931
41 17 581 577.113 218.824 358.289 0.001414421
41 18 527 564.185 205.896 358.289 0.12944497
41 19 539 541.689 183.4 358.289 0.00067691046
41 20 550 512.172 153.884 358.288 0.13396038
41 21 459 479.744 121.456 358.288 0.04028419
41 22 429 450.589 92.301 358.288 0.04363296
41 23 434 431.289 73 358.289 0.00068803203
41 24 413 427.222 68.933 358.289 0.018935247
41 25 452 441.625 83.335 358.29 0.010076874
41 26 459 475.799 117.509 358.29 0.026419007
41 27 516 523.419 165.128 358.291 0.0051527653
41 28 623 573.722 215.432 358.29 0.22732949
41 29 602 618.015 259.725 358.29 0.024010627
41 30 645 649.988 291.699 358.289 0.0023291771
41 31 661 665.912 307.623 358.289 0.0022587405
42 0 677 658.917 308.086 350.831 0.030611921
42 1 623 640.744 289.914 350.83 0.029474923
42 2 591 608.775 257.945 350.83 0.029578003
42 3 597 567.195 216.365 350.83 0.083162565
42 4 501 520.93 170.1 350.83 0.037184695
42 5 453 475.18 124.35 350.83 0.046054567
42 6 396 434.843 84.013 350.83 0.14124567
42 7 419 402.989 52.159 350.83 0.023998635
42 8 400 379.798 28.967 350.831 0.038206597
42 9 390 371.828 20.997 350.831 0.030913991
42 10 379 386.741 35.91 350.831 0.0056097532
42 11 401 419.987 69.156 350.831 0.03374911
42 12 483 461.545 110.714 350.831 0.043092993
42 13 472 502.74 151.908 350.832 0.088462121
42 14 528 537.346 186.515 350.831 0.0081771352
42 15 584 561.532 210.7 350.832 0.047258339
42 16 553 573.178 222.347 350.831 0.038115872
42 17 601 571.907 221.076 350.831 0.079236747
42 18 567 558.751 207.921 350.83 0.0063701877
42 19 552 535.901 185.071 350.83 0.024263163
42 20 498 505.965 155.135 350.83 0.0059391075
42 21 450 473.124 122.294 350.83 0.050058236
42 22 457 443.617 92.787 350.83 0.016767047
42 23 456 424.087 73.257 350.83 0.095342138
42 24 406 419.99 69.159 350.831 0.018322514
42 25 440 434.541 83.709 350.832 0.0027898176
42 26 470 468.97 118.138 350.832 9.931711e-05
42 27 507 516.923 166.091 350.832 0.0092179767
42 28 534 567.598 216.766 350.832 0.10567603
42 29 615 612.238 261.407 350.831 0.00071416238
42 30 690 644.472 293.64 350.832 0.19404693
42 31 652 660.507 309.676 350.831 0.0067748938
43 0 647 661.736 310.233 351.503 0.020328665
43 1 617 643.334 291.832 351.502 0.064920714
43 2 590 611.018 259.516 351.502 0.041355416
43 3 543 569.039 217.537 351.502 0.063474345
43 4 536 522.395 170.894 351.501 0.017327931
43 5 480 476.329 124.828 351.501 0.0012615904
43 6 449 435.758 84.256 351.502 0.016415601
43 7 397 403.76 52.258 351.502 0.004278022
43 8 375 380.516 29.013 351.503 0.0028483814
43 9 358 372.573 21.071 351.502 0.019881427
43 10 386 387.609 36.106 351.503 0.00024236043
43 11 424 421.136 69.633 351.503 0.00076788406
43 12 475 463.142 111.639 351.503 0.013163534
43 13 545 504.856 153.353 351.503 0.15086584
43 14 579 539.934 188.431 351.503 0.14287213
43 15 570 564.455 212.952 351.503 0.0028784105
43 16 577 576.248 224.746 351.502 5.2940167e-05
43 17 557 574.923 223.421 351.502 0.030072604
43 18 561 561.535 210.032 351.503 2.6795211e-05
43 19 538 538.322 186.82 351.502 9.7064711e-06
43 20 470 507.955 156.453 351.502 0.13486138
43 21 469 474.69 123.188 351.502 0.0030309178
43 22 448 444.825 93.323 351.502 0.0009437068
43 23 423 425.063 73.561 351.502 0.00039842637
43 24 406 420.938 69.435 351.503 0.020889812
43 25 413 435.643 84.14 351.503 0.047997383
43 26 501 470.343 118.839 351.504 0.087985059
43 27 534 518.652 167.148 351.504 0.022052265
43 28 543 569.723 218.219 351.504 0.066852869
43 29 654 614.729 263.225 351.504 0.14437551
43 30 670 647.236 295.733 351.503 0.048511732
43 31 674 663.39 311.887 351.503 0.010538539
44 0 602 657.866 312.248 345.618 0.29217616
44 1 615 639.246 293.629 345.617 0.055033841
44 2 580 606.598 260.982 345.616 0.066228907
44 3 538 564.242 218.626 345.616 0.064467894
44 4 531 517.243 171.627 345.616 0.017717282
44 5 489 470.881 125.265 345.616 0.030733928
44 6 390 430.092 84.476 345.616 0.15047525
44 7 398 397.963 52.347 345.616 1.2816017e-07
44 8 369 374.674 29.057 345.617 0.0030138962
44 9 382 366.762 21.145 345.617 0.021737298
44 10 399 381.914 36.296 345.618 0.027329421
44 11 402 415.702 70.084 345.618 0.017575899
44 12 450 458.132 112.513 345.619 0.0061907656
44 13 508 500.34 154.721 345.619 0.0054929692
44 14 553 535.867 190.249 345.618 0.027479983
44 15 539 560.709 215.091 345.618 0.044119366
44 16 570 572.642 227.025 345.617 0.00065345434
44 17 589 571.263 225.646 345.617 0.029451672
44 18 553 557.649 212.032 345.617 0.0020233393
44 19 537 534.087 188.471 345.616 0.00079438419
44 20 515 503.309 157.692 345.617 0.012795373
44 21 475 469.643 124.026 345.617 0.0026865376
44 22 492 439.44 93.823 345.617 0.25861895
44 23 430 419.462 73.845 345.617 0.010395994
44 24 437 415.316 69.698 345.618 0.044017809
44 25 449 430.169 84.551 345.618 0.033196813
44 26 492 465.12 119.502 345.618 0.067640709
44 27 539 513.765 168.146 345.619 0.059615095
44 28 529 565.207 219.589 345.618 0.12272547
44 29 589 610.557 264.939 345.618 0.043503707
44 30 595 643.32 297.702 345.618 0.2185765
44 31 647 659.583 313.965 345.618 0.014822383
45 0 642 659.944 313.735 346.209 0.030143116
45 1 645 641.139 294.93 346.209 0.0013955623
45 2 586 608.22 262.012 346.208 0.046220829
45 3 552 565.562 219.354 346.208 0.017218571
45 4 509 518.29 172.082 346.208 0.0080794361
45 5 435 471.712 125.504 346.208 0.12617279
45 6 399 430.774 84.566 346.208 0.094513404
45 7 405 398.567 52.359 346.208 0.0038741526
45 8 359 375.27 29.061 346.209 0.024781337
45 9 403 367.402 21.193 346.209 0.11863172
45 10 357 382.644 36.434 346.21 0.061563196
45 11 422 416.631 70.421 346.21 0.002698587
45 12 443 459.404 113.194 346.21 0.025191217
45 13 506 502.026 155.816 346.21 0.0014784456
45 14 542 537.936 191.726 346.21 0.0015461692
45 15 538 563.052 216.842 346.21 0.058753593
45 16 591 575.102 228.892 346.21 0.023661082
45 17 590 573.672 227.463 346.209 0.024958335
45 18 568 559.858 213.649 346.209 0.0062060007
45 19 520 535.991 189.783 346.208 0.023938717
45 20 508 504.859 158.651 346.208 0.00092360334
45 21 474 470.857 124.648 346.209 0.00092477991
45 22 468 440.377 94.168 346.209 0.071431753
45 23 457 420.226 74.017 346.209 0.12659932
45 24 443 416.071 69.862 346.209 0.067887541
45 25 437 431.045 84.835 346.21 0.0033198094
45 26 454 466.187 119.977 346.21 0.013904112
45 27 520 515.083 168.873 346.21 0.0022633413
45 28 595 566.808 220.598 346.21 0.074404876
45 29 627 612.42 266.21 346.21 0.019900531
45 30 616 645.379 299.17 346.209 0.080802285
45 31 666 661.722 315.512 346.21 0.0017132912
46 0 678 663.83 314.289 349.541 0.018797034
46 1 606 644.897 295.357 349.54 0.14163867
46 2 559 611.808 262.268 349.54 0.26106525
46 3 552 568.979 219.439 349.54 0.026988195
46 4 519 521.578 172.039 349.539 0.00062217914
46 5 477 474.924 125.384 349.54 0.00040346357
46 6 448 433.958 84.418 349.54 0.018458974
46 7 392 401.768 52.228 349.54 0.0089322511
46 8 375 378.529 28.989 349.54 0.0011658776
46 9 383 370.729 21.188 349.541 0.014096443
46 10 396 386.015 36.474 349.541 0.0093335264
46 11 395 420.095 70.553 349.542 0.058955459
46 12 473 463.076 113.534 349.542 0.0092198347
46 13 514 505.977 156.436 349.541 0.0060259179
46 14 560 542.155 192.613 349.542 0.029811424
46 15 575 567.464 217.923 349.541 0.0053165684
46 16 602 579.593 230.052 349.541 0.047002077
46 17 565 578.116 228.576 349.54 0.016104693
46 18 580 564.146 214.605 349.541 0.023530293
46 19 527 540.051 190.511 349.54 0.015945466
46 20 492 508.665 159.125 349.54 0.025999216
46 21 477 474.435 124.895 349.54 0.00061592008
46 22 444 443.778 94.238 349.54 4.6137661e-06
46 23 434 423.522 73.982 349.54 0.010277948
46 24 424 419.376 69.835 349.541 0.0020016368
46 25 430 434.426 84.884 349.542 0.0018338865
46 26 447 469.65 120.108 349.542 0.048027064
46 27 549 518.652 169.11 349.542 0.086220349
46 28 599 570.503 220.961 349.542 0.076023508
46 29 571 616.238 266.696 349.542 0.19158276
46 30 638 649.292 299.751 349.541 0.011936895
46 31 723 665.662 316.122 349.54 0.30777597
47 0 638 653.209 313.572 339.637 0.021654639
47 1 655 634.228 294.591 339.637 0.040393013
47 2 618 601.105 261.468 339.637 0.026721819
47 3 543 558.283 218.646 339.637 0.021865874
47 4 535 510.948 171.311 339.637 0.054156678
47 5 447 464.408 124.771 339.637 0.028369219
47 6 438 423.579 83.942 339.637 0.019468853
47 7 428 391.534 51.897 339.637 0.12448754
47 8 371 368.446 28.808 339.638 0.00061064866
47 9 337 360.745 21.107 339.638 0.052782988
47 10 387 376.013 36.375 339.638 0.011300766
