# channel	s0	s1	SIG
3.000000e+01	4.680392e+03	4.595272e+03	9.275664e+03
3.100000e+01	4.687576e+03	4.552321e+03	9.239898e+03
3.200000e+01	4.675790e+03	4.493884e+03	9.169673e+03
3.300000e+01	4.653050e+03	4.429446e+03	9.082495e+03
3.400000e+01	4.616523e+03	4.357107e+03	8.973630e+03
3.500000e+01	4.558810e+03	4.270046e+03	8.828856e+03
3.600000e+01	4.473350e+03	4.162000e+03	8.635350e+03
3.700000e+01	4.357729e+03	4.030549e+03	8.388278e+03
3.800000e+01	4.214742e+03	3.878150e+03	8.092891e+03
3.900000e+01	4.051579e+03	3.711349e+03	7.762928e+03
4.000000e+01	3.877773e+03	3.538836e+03	7.416609e+03
4.100000e+01	3.702641e+03	3.369060e+03	7.071701e+03
4.200000e+01	3.533034e+03	3.208158e+03	6.741192e+03
4.300000e+01	3.372098e+03	3.058817e+03	6.430916e+03
4.400000e+01	3.219362e+03	2.920369e+03	6.139730e+03
4.500000e+01	3.071845e+03	2.789801e+03	5.861646e+03
4.600000e+01	2.925620e+03	2.663185e+03	5.588805e+03
4.700000e+01	2.777138e+03	2.536890e+03	5.314028e+03
4.800000e+01	2.624010e+03	2.408301e+03	5.032311e+03
4.900000e+01	2.465306e+03	2.276112e+03	4.741418e+03
5.000000e+01	2.301543e+03	2.140353e+03	4.441897e+03
5.100000e+01	2.134643e+03	2.002383e+03	4.137025e+03
5.200000e+01	1.967745e+03	1.864769e+03	3.832514e+03
5.300000e+01	1.804854e+03	1.730979e+03	3.535833e+03
5.400000e+01	1.650188e+03	1.604779e+03	3.254967e+03
5.500000e+01	1.507351e+03	1.489439e+03	2.996790e+03
5.600000e+01	1.378604e+03	1.387014e+03	2.765618e+03
5.700000e+01	1.264509e+03	1.297974e+03	2.562483e+03
5.800000e+01	1.164069e+03	1.221314e+03	2.385384e+03
5.900000e+01	1.075271e+03	1.155050e+03	2.230321e+03
6.000000e+01	9.957519e+02	1.096855e+03	2.092607e+03
6.100000e+01	9.233631e+02	1.044603e+03	1.967966e+03
6.200000e+01	8.564652e+02	9.966545e+02	1.853120e+03
6.300000e+01	7.939823e+02	9.519151e+02	1.745897e+03
6.400000e+01	7.352875e+02	9.097278e+02	1.645015e+03
6.500000e+01	6.800436e+02	8.697239e+02	1.549767e+03
6.600000e+01	6.280653e+02	8.316921e+02	1.459757e+03
6.700000e+01	5.792322e+02	7.954972e+02	1.374729e+03
6.800000e+01	5.334456e+02	7.610396e+02	1.294485e+03
6.900000e+01	4.906097e+02	7.282378e+02	1.218847e+03
7.000000e+01	4.506270e+02	6.970224e+02	1.147649e+03
7.100000e+01	4.133955e+02	6.673320e+02	1.080727e+03
7.200000e+01	3.788065e+02	6.391065e+02	1.017913e+03
7.300000e+01	3.467437e+02	6.122845e+02	9.590282e+02
7.400000e+01	3.170830e+02	5.867988e+02	9.038819e+02
7.500000e+01	2.896934e+02	5.625760e+02	8.522694e+02
7.600000e+01	2.644397e+02	5.395385e+02	8.039782e+02
7.700000e+01	2.411856e+02	5.176072e+02	7.587928e+02
7.800000e+01	2.197980e+02	4.967077e+02	7.165058e+02
7.900000e+01	2.001484e+02	4.767702e+02	6.769186e+02
8.000000e+01	1.821147e+02	4.577314e+02	6.398461e+02
8.100000e+01	1.655818e+02	4.395348e+02	6.051166e+02
8.200000e+01	1.504407e+02	4.221296e+02	5.725703e+02
8.300000e+01	1.365893e+02	4.054729e+02	5.420621e+02
8.400000e+01	1.239315e+02	3.895272e+02	5.134587e+02
8.500000e+01	1.123778e+02	3.742618e+02	4.866396e+02
8.600000e+01	1.018444e+02	3.596504e+02	4.614947e+02
8.700000e+01	9.225252e+01	3.456674e+02	4.379199e+02
8.800000e+01	8.352739e+01	3.322855e+02	4.158129e+02
8.900000e+01	7.559769e+01	3.194738e+02	3.950715e+02
9.000000e+01	6.839547e+01	3.071980e+02	3.755934e+02
9.100000e+01	6.185693e+01	2.954227e+02	3.572796e+02
9.200000e+01	5.592289e+01	2.841145e+02	3.400374e+02
9.300000e+01	5.053903e+01	2.732429e+02	3.237819e+02
9.400000e+01	4.565611e+01	2.627835e+02	3.084397e+02
9.500000e+01	4.122924e+01	2.527162e+02	2.939454e+02
9.600000e+01	3.721754e+01	2.430236e+02	2.802411e+02
9.700000e+01	3.358385e+01	2.336915e+02	2.672753e+02
9.800000e+01	3.029422e+01	2.247061e+02	2.550003e+02
9.900000e+01	2.731780e+01	2.160547e+02	2.433725e+02
1.000000e+02	2.462635e+01	2.077249e+02	2.323513e+02
1.010000e+02	2.219392e+01	1.997050e+02	2.218989e+02
1.020000e+02	1.999652e+01	1.919831e+02	2.119797e+02
1.030000e+02	1.801214e+01	1.845484e+02	2.025606e+02
1.040000e+02	1.622055e+01	1.773890e+02	1.936096e+02
1.050000e+02	1.460343e+01	1.704935e+02	1.850969e+02
1.060000e+02	1.314429e+01	1.638502e+02	1.769945e+02
1.070000e+02	1.182820e+01	1.574478e+02	1.692760e+02
1.080000e+02	1.064153e+01	1.512751e+02	1.619166e+02
1.090000e+02	9.571769e+00	1.453216e+02	1.548934e+02
1.100000e+02	8.607438e+00	1.395777e+02	1.481852e+02
1.110000e+02	7.738078e+00	1.340347e+02	1.417728e+02
1.120000e+02	6.954342e+00	1.286848e+02	1.356392e+02
1.130000e+02	6.247929e+00	1.235209e+02	1.297688e+02
1.140000e+02	5.611513e+00	1.185366e+02	1.241481e+02
1.150000e+02	5.038505e+00	1.137260e+02	1.187645e+02
1.160000e+02	4.522875e+00	1.090837e+02	1.136066e+02
1.170000e+02	4.059025e+00	1.046046e+02	1.086637e+02
1.180000e+02	3.641772e+00	1.002841e+02	1.039259e+02
1.190000e+02	3.266388e+00	9.611764e+01	9.938403e+01
1.200000e+02	2.928658e+00	9.210085e+01	9.502951e+01
1.210000e+02	2.624892e+00	8.822966e+01	9.085455e+01
1.220000e+02	2.351854e+00	8.449999e+01	8.685185e+01
1.230000e+02	2.106659e+00	8.090802e+01	8.301468e+01
1.240000e+02	1.886661e+00	7.745018e+01	7.933684e+01
1.250000e+02	1.689378e+00	7.412321e+01	7.581259e+01
1.260000e+02	1.512479e+00	7.092415e+01	7.243663e+01
1.270000e+02	1.353815e+00	6.785027e+01	6.920409e+01
1.280000e+02	1.211459e+00	6.489892e+01	6.611037e+01
1.290000e+02	1.083738e+00	6.206740e+01	6.315113e+01
1.300000e+02	9.692118e-01	5.935275e+01	6.032196e+01
1.310000e+02	8.666302e-01	5.675173e+01	5.761836e+01
1.320000e+02	7.748669e-01	5.426066e+01	5.503553e+01
1.330000e+02	6.928660e-01	5.187549e+01	5.256835e+01
1.340000e+02	6.196162e-01	4.959192e+01	5.021154e+01
1.350000e+02	5.541542e-01	4.740558e+01	4.795973e+01
1.360000e+02	4.955896e-01	4.531211e+01	4.580770e+01
1.370000e+02	4.431330e-01	4.330739e+01	4.375052e+01
1.380000e+02	3.961113e-01	4.138752e+01	4.178363e+01
1.390000e+02	3.539648e-01	3.954888e+01	3.990285e+01
1.400000e+02	3.162247e-01	3.778813e+01	3.810435e+01
1.410000e+02	2.824823e-01	3.610211e+01	3.638459e+01
1.420000e+02	2.523593e-01	3.448779e+01	3.474015e+01
1.430000e+02	2.254908e-01	3.294223e+01	3.316772e+01
1.440000e+02	2.015214e-01	3.146243e+01	3.166395e+01
1.450000e+02	1.801121e-01	3.004516e+01	3.022527e+01
1.460000e+02	1.609542e-01	2.868690e+01	2.884785e+01
1.470000e+02	1.437793e-01	2.738361e+01	2.752738e+01
1.480000e+02	1.283634e-01	2.613073e+01	2.625910e+01
1.490000e+02	1.145232e-01	2.492333e+01	2.503786e+01
1.500000e+02	1.021066e-01	2.375642e+01	2.385853e+01
1.510000e+02	9.098120e-02	2.262559e+01	2.271657e+01
1.520000e+02	8.102514e-02	2.152767e+01	2.160870e+01
1.530000e+02	7.212213e-02	2.046145e+01	2.053357e+01
1.540000e+02	6.416154e-02	1.942802e+01	1.949218e+01
1.550000e+02	5.704125e-02	1.843069e+01	1.848773e+01
1.560000e+02	5.067123e-02	1.747434e+01	1.752501e+01
1.570000e+02	4.497551e-02	1.656432e+01	1.660929e+01
1.580000e+02	3.989156e-02	1.570523e+01	1.574512e+01
1.590000e+02	3.536738e-02	1.489985e+01	1.493522e+01
1.600000e+02	3.135714e-02	1.414858e+01	1.417994e+01
1.610000e+02	2.781719e-02	1.344939e+01	1.347721e+01
1.620000e+02	2.470321e-02	1.279837e+01	1.282307e+01
1.630000e+02	2.196923e-02	1.219048e+01	1.221245e+01
1.640000e+02	1.956830e-02	1.162038e+01	1.163995e+01
1.650000e+02	1.745438e-02	1.108313e+01	1.110058e+01
1.660000e+02	1.558469e-02	1.057453e+01	1.059011e+01
1.670000e+02	1.392182e-02	1.009130e+01	1.010522e+01
1.680000e+02	1.243503e-02	9.631040e+00	9.643475e+00
1.690000e+02	1.110056e-02	9.191977e+00	9.203078e+00
1.700000e+02	9.900926e-03	8.772775e+00	8.782676e+00
1.710000e+02	8.823446e-03	8.372262e+00	8.381085e+00
1.720000e+02	7.858466e-03	7.989252e+00	7.997111e+00
1.730000e+02	6.997612e-03	7.622367e+00	7.629365e+00
1.740000e+02	6.232504e-03	7.269951e+00	7.276183e+00
1.750000e+02	5.554021e-03	6.930010e+00	6.935564e+00
1.760000e+02	4.952219e-03	6.600243e+00	6.605195e+00
1.770000e+02	4.416745e-03	6.278167e+00	6.282584e+00
1.780000e+02	3.937539e-03	5.961359e+00	5.965296e+00
1.790000e+02	3.505613e-03	5.647817e+00	5.651323e+00
1.800000e+02	3.113666e-03	5.336393e+00	5.339506e+00
1.810000e+02	2.756430e-03	5.027183e+00	5.029940e+00
1.820000e+02	2.430635e-03	4.721735e+00	4.724166e+00
1.830000e+02	2.134663e-03	4.422966e+00	4.425100e+00
1.840000e+02	1.867951e-03	4.134744e+00	4.136612e+00
1.850000e+02	1.630306e-03	3.861198e+00	3.862829e+00
1.860000e+02	1.421273e-03	3.605940e+00	3.607361e+00
1.870000e+02	1.239710e-03	3.371408e+00	3.372647e+00
1.880000e+02	1.083625e-03	3.158504e+00	3.159588e+00
1.890000e+02	9.502745e-04	2.966603e+00	2.967553e+00
1.900000e+02	8.364507e-04	2.793865e+00	2.794701e+00
1.910000e+02	7.388546e-04	2.637742e+00	2.638481e+00
1.920000e+02	6.544353e-04	2.495491e+00	2.496145e+00
1.930000e+02	5.806265e-04	2.364581e+00	2.365162e+00
1.940000e+02	5.154479e-04	2.242927e+00	2.243443e+00
1.950000e+02	4.574834e-04	2.128959e+00	2.129417e+00
1.960000e+02	4.057759e-04	2.021566e+00	2.021972e+00
1.970000e+02	3.596853e-04	1.919985e+00	1.920345e+00
1.980000e+02	3.187479e-04	1.823685e+00	1.824004e+00
1.990000e+02	2.825658e-04	1.732262e+00	1.732545e+00
2.000000e+02	2.507359e-04	1.645376e+00	1.645627e+00
2.010000e+02	2.228199e-04	1.562718e+00	1.562941e+00
2.020000e+02	1.983457e-04	1.483994e+00	1.484192e+00
2.030000e+02	1.768308e-04	1.408931e+00	1.409108e+00
2.040000e+02	1.578130e-04	1.337278e+00	1.337436e+00
2.050000e+02	1.408800e-04	1.268811e+00	1.268952e+00
2.060000e+02	1.256894e-04	1.203335e+00	1.203460e+00
2.070000e+02	1.119779e-04	1.140678e+00	1.140790e+00
2.080000e+02	9.955685e-05	1.080688e+00	1.080787e+00
2.090000e+02	8.830005e-05	1.023219e+00	1.023307e+00
2.100000e+02	7.812525e-05	9.681189e-01	9.681971e-01
2.110000e+02	6.897475e-05	9.152177e-01	9.152866e-01
2.120000e+02	6.079814e-05	8.643124e-01	8.643732e-01
2.130000e+02	5.353951e-05	8.151643e-01	8.152178e-01
2.140000e+02	4.713050e-05	7.675020e-01	7.675492e-01
2.150000e+02	4.148913e-05	7.210408e-01	7.210823e-01
2.160000e+02	3.652333e-05	6.755135e-01	6.755500e-01
2.170000e+02	3.213778e-05	6.307137e-01	6.307459e-01
2.180000e+02	2.824183e-05	5.865426e-01	5.865708e-01
2.190000e+02	2.475665e-05	5.430455e-01	5.430703e-01
2.200000e+02	2.162006e-05	5.004324e-01	5.004540e-01
2.210000e+02	1.878814e-05	4.590664e-01	4.590852e-01
2.220000e+02	1.623368e-05	4.194220e-01	4.194382e-01
2.230000e+02	1.394212e-05	3.820175e-01	3.820314e-01
2.240000e+02	1.190619e-05	3.473335e-01	3.473454e-01
2.250000e+02	1.012052e-05	3.157378e-01	3.157479e-01
2.260000e+02	8.577374e-06	2.874322e-01	2.874408e-01
2.270000e+02	7.264054e-06	2.624339e-01	2.624412e-01
2.280000e+02	6.162277e-06	2.405910e-01	2.405972e-01
2.290000e+02	5.249038e-06	2.216257e-01	2.216309e-01
2.300000e+02	4.498474e-06	2.051901e-01	2.051946e-01
2.310000e+02	3.884021e-06	1.909202e-01	1.909241e-01
2.320000e+02	3.380345e-06	1.784749e-01	1.784783e-01
2.330000e+02	2.964747e-06	1.675579e-01	1.675608e-01
2.340000e+02	2.617918e-06	1.579206e-01	1.579232e-01
2.350000e+02	2.324162e-06	1.493566e-01	1.493589e-01
2.360000e+02	2.071214e-06	1.416906e-01	1.416927e-01
2.370000e+02	1.849850e-06	1.347699e-01	1.347718e-01
2.380000e+02	1.653398e-06	1.284596e-01	1.284613e-01
2.390000e+02	1.477241e-06	1.226424e-01	1.226439e-01
2.400000e+02	1.318343e-06	1.172197e-01	1.172210e-01
2.410000e+02	1.174802e-06	1.121128e-01	1.121140e-01
2.420000e+02	1.045463e-06	1.072629e-01	1.072639e-01
2.430000e+02	9.295665e-07	1.026284e-01	1.026293e-01
2.440000e+02	8.264820e-07	9.818160e-02	9.818243e-02
2.450000e+02	7.355090e-07	9.390390e-02	9.390463e-02
2.460000e+02	6.557711e-07	8.978221e-02	8.978287e-02
2.470000e+02	5.861888e-07	8.580610e-02	8.580668e-02
2.480000e+02	5.255196e-07	8.196626e-02	8.196679e-02
2.490000e+02	4.724393e-07	7.825400e-02	7.825448e-02
2.500000e+02	4.256434e-07	7.466173e-02	7.466215e-02
2.510000e+02	3.839410e-07	7.118360e-02	7.118399e-02
2.520000e+02	3.463238e-07	6.781599e-02	6.781634e-02
2.530000e+02	3.120049e-07	6.455772e-02	6.455803e-02
2.540000e+02	2.804232e-07	6.140985e-02	6.141013e-02
2.550000e+02	2.512215e-07	5.837501e-02	5.837526e-02
2.560000e+02	2.242059e-07	5.545663e-02	5.545685e-02
2.570000e+02	1.992981e-07	5.265807e-02	5.265827e-02
2.580000e+02	1.764869e-07	4.998187e-02	4.998205e-02
2.590000e+02	1.557857e-07	4.742914e-02	4.742929e-02
2.600000e+02	1.371980e-07	4.499905e-02	4.499919e-02
2.610000e+02	1.206949e-07	4.268873e-02	4.268885e-02
2.620000e+02	1.062015e-07	4.049321e-02	4.049332e-02
2.630000e+02	9.359402e-08	3.840560e-02	3.840570e-02
2.640000e+02	8.270428e-08	3.641757e-02	3.641765e-02
2.650000e+02	7.333200e-08	3.452008e-02	3.452015e-02
2.660000e+02	6.525981e-08	3.270419e-02	3.270426e-02
2.670000e+02	5.827006e-08	3.096209e-02	3.096215e-02
2.680000e+02	5.215985e-08	2.928786e-02	2.928791e-02
